index|lemma|human_readable_pos|definition|synset_key_name|example|new_sentence|v__human
8806|cause|verb|cause to do; cause to act in a specified manner|induce.v.02|The disasters of 1825-1826 caused more to leave.|The coach's motivational talk caused her team to play with more energy and determination in the second half of the game.|1
5846|idea|noun|a personal view|idea.n.03|he has an idea that we don't like him|In my idea, the dress looks much better in blue than in red.|1
4356|doubt|verb|lack confidence in or have doubts about|doubt.v.02|I doubt these reports|He doubted his own abilities to win the race.|1
8442|degree|noun|a unit of temperature on a specified scale|degree.n.06|the game was played in spite of the 40-degree temperature|The temperature impossibly kept going down to well below zero degrees at night.|1
9296|federal|adjective|being of or having to do with the northern United States and those loyal to the Union during the American Civil War|union.s.01|Federal forces|The Federal army defeated the Confederate forces at Gettysburg during the American Civil War.|1
7272|past|noun|a earlier period in someone's life (especially one that they have reason to keep secret)|past.n.02|reporters dug into the candidate's past|Nancy refused to reveal her past after enduring unspeakable terrors during her teenage years.|1
2913|wear|verb|have on one's person|wear.v.02|He wore a red ribbon|She regularly wears that necklace her grandmother gave her.|1
2713|profit|noun|the advantageous quality of being beneficial|profit.n.02|Latest models serve hot meals at reasonable prices, and at a profit to you.|Learning new skills in your free time can be a great profit in your professional development.|1
5412|word|noun|an exchange of views on some topic|discussion.n.02|we had a word or two about it|I would like to have a word with you about the new policies.|1
937|schedule|noun|an ordered list of times at which things are planned to occur|schedule.n.02|You see, you got to remember, we all got schedules, like any business!|I need to check my schedule before making any further plans.|1
8863|discharge|noun|any of several bodily processes by which substances go out of the body|discharge.n.04|the discharge of pus|Frequent coughing and difficulty breathing are signs of a high discharge of phlegm.|1
2292|die|noun|a device used for shaping metal|die.n.02|Keep the retirement age flexible so skilled craftsmen such as tool and die makers can be kept on the job for the convenience of the company.|The pieces of metal were placed inside the die, which accurately shaped them into the necessary form.|1
5316|spring|noun|a metal elastic device that returns to its shape or position when pushed or pulled or pressed|spring.n.02|the spring was broken|I replaced the old spring with a new one so that the garage door could be lifted effortlessly again.|1
9867|inspect|verb|come to see in an official or professional capacity|visit.v.04|An hour of bouncing, a brief stop in a village to inspect a new school or dispensary.|As part of the audit, the external accounting firm will inspect our financial statements to ensure compliance with regulatory requirements.|0
2805|minute|noun|a particular point in time|moment.n.01|The long minute before he reached effective cover seemed endless.|I will call you back in a minute after I finished this task.|0
779|week|noun|hours or days of work in a calendar week|workweek.n.01|they worked a 40-hour week|I have five conference calls scheduled next week, one for each workday.|1
2294|convenience|noun|the quality of being useful and convenient|convenience.n.02|they offered the convenience of an installment plan|The convenience of online shopping has made it increasingly popular.|1
1061|safety|noun|a device designed to prevent injury or accidents|guard.n.03|Warren eased his rifle's safety off and gently, slowly sneaked another clip of ammunition from one of the cloth bandoleers that marked the upper part of his body with an x.|Be sure to always wear a helmet for safety when riding a bike.|0
8777|clearly|adverb|in an easily perceptible manner|clearly.r.04|could be seen clearly under the microscope|He could not hear well, but he could see clearly with his new glasses.|1
6242|follow|verb|keep informed|keep_up.v.04|N an amateu6rish, yet in a very real sense, i have followed the developments of archaeology, geology, astronomy, herpetology, and mycology with a hearty appreciation of the advances being made in these fields.|I follow the news daily to keep informed on current events.|1
6614|sovereign|adjective|greatest in status or authority or power|sovereign.s.02|No longer did the sovereign look to the law of nations to determine what he ought to do; his search was merely for rules that might limit his freedom of action.|The recently crowned king exuded a sovereign aura as he addressed his noble subjects.|1
9584|city|noun|people living in a large densely populated municipality|city.n.03|the city voted for Republicans in 1994|The city was celebrating its 100 years of existence as generations of families have made it their home.|1
2265|bill|noun|an itemized statement of money owed for goods shipped or services rendered|bill.n.02|he paid his bill and left|The restaurant politely asked Ron to pay his bill before leaving the premises.|1
2309|possible|adjective|existing in possibility|potential.a.01|possible uses of nuclear power|There are many possible outcomes to this experiment.|1
5616|precisely|adverb|just as it should be|precisely.r.03|`Precisely, my lord,' he said|The customer's order was delivered precisely as it should be, on time and without any errors.|0
6626|effect|noun|(of a law) having legal validity|effect.n.05|the law is still in effect|The court ruled that the new regulation will take effect immediately.|1
10023|wander|verb|be sexually unfaithful to one's partner in marriage|cheat_on.v.01|Might her husband be wandering?|He was accused of wandering with his secretary during a business trip.|1
5133|ordinary|adjective|lacking special distinction, rank, or status; commonly encountered|average.s.02|the ordinary (or common) man in the street|I am just an ordinary person with a regular job.|1
3185|notice|verb|make or write a comment on|comment.v.01|They refuse to mention or to notice that they are not there.|During the reading comprehension exercise, the teacher asked the students to notice and comment on the main idea of the text.|0
5793|wind|noun|breath|wind.n.03|the collision knocked the wind out of him|I felt out of breath after the long race and struggled to catch my wind.|1
6816|intensity|noun|high level or degree; the property of being intense|intensity.n.02|His peculiar gift, as had been suggested before, is his intensity.|The intensity of the argument between Sam and Rebecca was overwhelming.|1
10031|tv|noun|an electronic device that receives television signals and displays them on a screen|television_receiver.n.01|the British call a tv set a telly|I bought a new TV for my living room and it has a crystal-clear screen.|1
6300|emphasis|noun|intensity or forcefulness of expression|vehemence.n.01|his emphasis on civil rights|The actor put great emphasis on delivering his lines with passion and conviction.|1
10071|honey|noun|a beloved person; used as terms of endearment|beloved.n.01|`` you don't eat enough, honey.|"""I'll be home soon, my dear honey,"" said the grandfather to his granddaughter on the phone."|1
3195|interrupt|verb|interfere in someone else's activity|interrupt.v.03|Please don't interrupt me while I'm on the phone|I was trying to concentrate on my work, but my coworker keeps interrupting me with pointless conversation.|1
4311|seem|verb|seem to be true, probable, or apparent|appear.v.04|It seems that he is very gifted|It seems like it's going to rain, so you might want to bring an umbrella with you.|1
5671|head|verb|direct the course; determine the direction of travelling|steer.v.01|Finally, as time began to run out, he headed into ormoc and glide-bombed a group of houses that intelligence had thought might contain japanese supplies.|The captain had to head the ship towards the safer route to avoid the storm.|1
8510|travel|verb|travel upon or across|travel.v.04|travel the oceans|The explorer travelled across the desert to find the ancient ruins.|0
7989|ruin|noun|a ruined building|ruin.n.02|they explored several Roman ruins|The tourists took pictures of the medieval ruins during their trip.|1
6175|loud|adjective|tastelessly showy|brassy.s.02|loud sport shirts|He wore a loud tie that clashed with his suit.|1
5650|state|verb|indicate through a symbol, formula, etc.|express.v.04|Scores are stated in grade equivalents on a national norm.|The chemical formula clearly state the composition of the compound.|1
9829|tea|noun|a light midafternoon meal of tea and sandwiches or cakes|tea.n.02|an Englishman would interrupt a war to have his afternoon tea|I enjoy my daily tea with a delightful tray of finger sandwiches and petit fours.|1
8531|submit|verb|make an application as for a job or funding|put_in.v.05|Oersted remodeled ritter's notes into an essay in french which was submitted to the institut de france for its annual prize of 3000 francs.|She decided to submit her resume to a well-known tech company for a programmer job opening.|1
8946|companion|noun|a traveler who accompanies you|companion.n.02|In town after town my companion pointed out the negro school and the white school, and in every instance the former made a better appearance (it was newer, for one thing).|During the trek in the Himalayas, his companion showed him all the mesmerizing peaks and landscapes as they navigated through various rough passages together.|1
6177|prove|verb|prove formally; demonstrate by a mathematical, formal proof|prove.v.04|We shall prove that * * f.|By using mathematical induction, we can easily prove that the sum of the first n odd integers is $n^2$.|1
6161|process|noun|(psychology) the performance of some composite cognitive activity; an operation that affects mental contents|process.n.02|the process of thinking|Complex problem solving involves many different mental processes.|0
9747|rest|verb|rest on or as if on a pillow|pillow.v.01|We were forbidden to swing on the gates, lest they sag on their hinges in a poor-white-trash way, but we could stand on them, when they were latched, rest our chins on the top, and stare and stare, committing to memory, quite unintentionally, all the details that lay before our eyes.|She placed the fluffy pillow behind her head and rested, enjoying the comfort it provided.|1
5919|java|noun|a beverage consisting of an infusion of ground coffee beans|coffee.n.01|His long nose wiggled at the smells of frizzling bacon and heating java, but the fire was low, and he wanted to waste no time.|I need a cup of hot and strong java to start my morning off right.|1
1047|responsibility|noun|the proper sphere or extent of your activities|province.n.02|The policy officer lives with his antennae alerted for the questions which fall within his range of responsibility.|Before adding new tasks to your department, make sure they fall within your area of responsibility.|1
3805|head|noun|a person who is in charge|head.n.04|the head of the whole operation|The head of marketing will present the new campaign at tomorrow's meeting.|1
6666|today|noun|the day that includes the present moment (as opposed to yesterday or tomorrow)|today.n.02|Today is beautiful|I have a lot of appointments scheduled for today.|1
567|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|The chemical group functionalizes the molecule, allowing it to have specific properties.|1
3599|dinner|noun|a party of people assembled to have dinner together|dinner.n.02|guests should never be late to a dinner party|I am baking a cake for Tommy's birthday dinner.|1
5075|bark|noun|a sailing ship with 3 (or more) masts|bark.n.03|On april 17, 1610, the sturdy little three masted bark, discovery, weighed anchor in st. katherine's pool, london, and floated down the thames toward the sea.|The ship that the pirates took by force was a three-masted bark.|1
7541|academic|adjective|hypothetical or theoretical and not expected to produce an immediate or practical result|academic.s.02|an academic question|The discussions we had in class today were academic, with little relationship to the issues we faced in real life.|1
